"","model_label","Model_Code","refLabel","refPercent","BpS_Name","Var1","Var2","Freq","BPS_CODE","ZONE","total_count","currentPercent"
"1","10080_1_2_3_7_A","10080_1_2_3_7","A",9,"North Pacific Oak Woodland",760,1,172,10080,2,3216,5
"2","10080_1_2_3_7_A","10080_1_2_3_7","A",9,"North Pacific Oak Woodland",790,1,15,10080,7,184,8
"3","10080_1_2_3_7_B","10080_1_2_3_7","B",5,"North Pacific Oak Woodland",760,2,522,10080,2,3216,16
"4","10080_1_2_3_7_B","10080_1_2_3_7","B",5,"North Pacific Oak Woodland",790,2,85,10080,7,184,46
"5","10080_1_2_3_7_C","10080_1_2_3_7","C",86,"North Pacific Oak Woodland",760,3,113,10080,2,3216,3
"6","10080_1_2_3_7_C","10080_1_2_3_7","C",86,"North Pacific Oak Woodland",790,3,83,10080,7,184,45
"7","10080_1_2_3_7_D","10080_1_2_3_7","D",NA,"North Pacific Oak Woodland",NA,NA,NA,NA,NA,NA,NA
"8","10080_1_2_3_7_E","10080_1_2_3_7","E",NA,"North Pacific Oak Woodland",NA,NA,NA,NA,NA,NA,NA
"9","10080_1_2_3_7_Agriculture","10080_1_2_3_7","Agriculture",0,"North Pacific Oak Woodland",760,180,1117,10080,2,3216,34
"10","10080_1_2_3_7_Developed","10080_1_2_3_7","Developed",0,"North Pacific Oak Woodland",760,120,1149,10080,2,3216,35
"11","10080_1_2_3_7_Water","10080_1_2_3_7","Water",0,"North Pacific Oak Woodland",NA,NA,NA,NA,NA,NA,NA
"12","10080_1_2_3_7_UN","10080_1_2_3_7","UN",0,"North Pacific Oak Woodland",NA,NA,NA,NA,NA,NA,NA
"13","10080_1_2_3_7_UE","10080_1_2_3_7","UE",0,"North Pacific Oak Woodland",760,7,118,10080,2,3216,3
"14","10080_1_2_3_7_UE","10080_1_2_3_7","UE",0,"North Pacific Oak Woodland",790,7,1,10080,7,184,0
"15","10110_7_A","10110_7","A",27,"Rocky Mountain Aspen Forest and Woodland",791,1,73,10110,7,181,40
