"","VALUE","Freq","BPS_CODE","ZONE","BPS_MODEL","BPS_NAME","GROUPVEG","FRI_REPLAC","FRI_MIXED","FRI_SURFAC","FRI_ALLFIR","PRC_REPLAC","PRC_MIXED","PRC_SURFAC","FRG_NEW","R","G","B","RED","GREEN","BLUE","ACRES","REL_PERCENT"
"1",2720,3951300,10431,2,"10431_2_3_6_7","Mediterranean California Mixed Evergreen Forest-Interior","Conifer",165,46,23,14,9,30,61,"I-B",164,196,143,0.643137255,0.768627451,0.560784314,878748,20.1
"2",764,2323243,10270,2,"10270_2_3_7","Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland","Conifer",337,32,12,8,3,26,71,"I-B",158,187,215,0.619607843,0.733333333,0.843137255,516677,11.8
"3",797,1895460,10270,7,"10270_2_3_7","Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland","Conifer",337,32,12,8,3,26,71,"I-B",158,187,215,0.619607843,0.733333333,0.843137255,421540,9.6
"4",798,1687163,10280,7,"10280_4_6_7_12","Mediterranean California Mesic Mixed Conifer Forest and Woodland","Conifer",148,46,33,17,12,37,51,"I-C",84,98,168,0.329411765,0.384313725,0.658823529,375216,8.6
"5",2719,1276404,10432,2,"10432_2_3","Mediterranean California Mixed Evergreen Forest-Coastal","Conifer",221,60,252,40,18,66,16,"III-A",164,196,143,0.643137255,0.768627451,0.560784314,283865,6.5
"6",767,1094922,10300,2,"10300_2_3_4_5_6_7","Mediterranean California Lower Montane Black Oak-Conifer Forest and Woodland","Conifer",176,38,15,10,6,27,67,"I-B",180,80,145,0.705882353,0.31372549,0.568627451,243505,5.6
"7",762,906589,10210,2,"10210_2_3_6_7","Klamath-Siskiyou Lower Montane Serpentine Mixed Conifer Woodland","Conifer",229,70,11,9,5,13,82,"I-B",245,181,149,0.960784314,0.709803922,0.584313725,201621,4.6
"8",765,827415,10280,2,"10280_2_3","Mediterranean California Mesic Mixed Conifer Forest and Woodland","Conifer",237,47,25,15,6,33,61,"I-B",84,98,168,0.329411765,0.384313725,0.658823529,184013,4.2
"9",800,563338,10300,7,"10300_2_3_4_5_6_7","Mediterranean California Lower Montane Black Oak-Conifer Forest and Woodland","Conifer",176,38,15,10,6,27,67,"I-B",180,80,145,0.705882353,0.31372549,0.568627451,125283,2.9
"10",802,546124,10320,7,"10320_2_3_7","Mediterranean California Red Fir Forest","Conifer",189,58,58,25,14,43,43,"I-C",255,59,127,1,0.231372549,0.498039216,121455,2.8
"11",806,372552,10370,7,"10370_1_2_7","North Pacific Maritime Dry-Mesic Douglas-fir-Western Hemlock Forest","Conifer",336,105,NA,80,24,76,NA,"III-A",222,252,222,0.870588235,0.988235294,0.870588235,82854,1.9
