"","TransitionGroupID","Model_Code","annual_probability","BpS_Name","...1","BLUE","ACRES","REL_PERCENT","annual_dist_acres"
"1","All Fire","10080_1_2_3_7",0.1033902,"North Pacific Oak Woodland",63,0.470588235,715,0,73.923993
"2","All Fire","10080_1_2_3_7",0.1033902,"North Pacific Oak Woodland",71,0.470588235,41,0,4.2389982
"3","All Fire","10110_7",0.0180518,"Rocky Mountain Aspen Forest and Woodland",72,0.450980392,40,0,0.722072
"4","All Fire","10150_2_3_4",0.0335386,"California Coastal Redwood Forest",38,0,8962,0.2,300.5729332
"5","All Fire","10170_6_7_8_9_12_18",0.0058918,"Columbia Plateau Western Juniper Woodland and Savanna",48,0.384313725,4248,0.1,25.0283664
"6","All Fire","10180_1_7",0.0151452,"East Cascades Mesic Montane Mixed-Conifer Forest and Woodland",49,0.705882353,3045,0.1,46.117134
"7","All Fire","10210_2_3_6_7",0.1080142,"Klamath-Siskiyou Lower Montane Serpentine Mixed Conifer Woodland",7,0.584313725,201621,4.6,21777.9310182
"8","All Fire","10210_2_3_6_7",0.1080142,"Klamath-Siskiyou Lower Montane Serpentine Mixed Conifer Woodland",43,0.584313725,3714,0.1,401.1647388
"9","All Fire","10210_2_3_6_7",0.1080142,"Klamath-Siskiyou Lower Montane Serpentine Mixed Conifer Woodland",50,0.584313725,5199,0.1,561.5658258
"10","All Fire","10220_2_3_6_7",0.1067432,"Klamath-Siskiyou Upper Montane Serpentine Mixed Conifer Woodland",15,0.352941176,65035,1.5,6942.044012
"11","All Fire","10220_2_3_6_7",0.1067432,"Klamath-Siskiyou Upper Montane Serpentine Mixed Conifer Woodland",34,0.352941176,12582,0.3,1343.0429424
"12","All Fire","10220_2_3_6_7",0.1067432,"Klamath-Siskiyou Upper Montane Serpentine Mixed Conifer Woodland",73,0.352941176,1381,0,147.4123592
"13","All Fire","10270_2_3_7",0.1186222,"Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland",2,0.843137255,516677,11.8,61289.3624294
"14","All Fire","10270_2_3_7",0.1186222,"Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland",3,0.843137255,421540,9.6,50004.002188
"15","All Fire","10270_2_3_7",0.1186222,"Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland",28,0.843137255,16978,0.4,2013.9677116
"16","All Fire","10280_2_3",0.0635584,"Mediterranean California Mesic Mixed Conifer Forest and Woodland",8,0.658823529,184013,4.2,11695.5718592
"17","All Fire","10280_2_3",0.0635584,"Mediterranean California Mesic Mixed Conifer Forest and Woodland",19,0.658823529,40046,0.9,2545.2596864
