"","VALUE","Freq","EVT_NAME","LFRDB","EVT_FUEL","EVT_FUEL_N","EVT_LF","EVT_PHYS","EVT_GP","EVT_GP_N","SAF_SRM","EVT_ORDER","EVT_CLASS","EVT_SBCLS","R","G","B","RED","GREEN","BLUE","ACRES","REL_PERCENT"
"1",7008,597978,"North Pacific Oak Woodland",7008,2008,"Tr North Pacific Oak Woodland","Tree","Hardwood",629,"Western Oak Woodland and Savanna","SAF 233: Oregon White Oak","Tree-dominated","Open tree canopy","Deciduous open tree canopy",203,255,171,0.796078,1,0.670588,132987,3
"2",7015,19629,"California Coastal Redwood Forest",7015,2015,"Tr California Coastal Redwood Forest","Tree","Conifer",634,"Redwood Forest and Woodland","SAF 232: Redwood","Tree-dominated","Open tree canopy","Evergreen open tree canopy",135,255,105,0.529412,1,0.411765,4365,0.1
"3",7017,4977,"Columbia Plateau Western Juniper Woodland and Savanna",7017,2017,"Tr Columbia Plateau Western Juniper Woodland and Savanna","Tree","Conifer",620,"Juniper Woodland and Savanna","SRM 107: Western Juniper-Big Sagebrush-Bluebunch Wheatgrass","Tree-dominated","Open tree canopy","Evergreen open tree canopy",108,255,82,0.423529,1,0.321569,1107,0
"4",7021,274693,"Klamath-Siskiyou Lower Montane Serpentine Mixed Conifer Woodland",7021,2021,"Tr Klamath-Siskiyou Lower Montane Serpentine Mixed Conifer Woodland","Tree","Conifer",645,"Western Red-cedar-Western Hemlock Forest","SAF 231: Port Orford-Cedar","Tree-dominated","Open tree canopy","Evergreen open tree canopy",42,255,31,0.164706,1,0.121569,61090,1.4
"5",7022,186,"Klamath-Siskiyou Upper Montane Serpentine Mixed Conifer Woodland",7022,2022,"Tr Klamath-Siskiyou Upper Montane Serpentine Mixed Conifer Woodland","Tree","Conifer",645,"Western Red-cedar-Western Hemlock Forest","SAF 248: Knobcone Pine","Tree-dominated","Open tree canopy","Evergreen open tree canopy",224,252,192,0.878431,0.988235,0.752941,41,0
"6",7027,2312248,"Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland",7027,2027,"Tr Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland","Tree","Conifer",625,"Douglas-fir-Ponderosa Pine-Lodgepole Pine Forest and Woodland","SAF 243: Sierra Nevada Mixed Conifer","Tree-dominated","Open tree canopy","Evergreen open tree canopy",0,222,0,0,0.870588,0,514232,11.8
"7",7028,1649000,"Mediterranean California Mesic Mixed Conifer Forest and Woodland",7028,2028,"Tr Mediterranean California Mesic Mixed Conifer Forest and Woodland","Tree","Conifer",643,"Douglas-fir-Grand Fir-White Fir Forest and Woodland","SAF 211: White Fir","Tree-dominated","Closed tree canopy","Evergreen closed tree canopy",0,204,0,0,0.8,0,366729,8.4
"8",7029,131232,"Mediterranean California Mixed Oak Woodland",7029,2029,"Tr Mediterranean California Mixed Oak Woodland","Tree","Hardwood",629,"Western Oak Woodland and Savanna","SAF 246: California Black Oak","Tree-dominated","Open tree canopy","Mixed evergreen-deciduous open tree canopy",0,189,0,0,0.741176,0,29185,0.7
"9",7030,626764,"Mediterranean California Lower Montane Conifer Forest and Woodland",7030,2030,"Tr Mediterranean California Lower Montane Conifer Forest and Woodland","Tree","Conifer",610,"Conifer-Oak Forest and Woodland","SAF 246: California Black Oak","Tree-dominated","Open tree canopy","Evergreen open tree canopy",0,189,0,0,0.741176,0,139389,3.2
"10",7031,107354,"California Montane Jeffrey Pine-(Ponderosa Pine) Woodland",7031,2031,"Tr California Montane Jeffrey Pine(-Ponderosa Pine) Woodland","Tree","Conifer",631,"Ponderosa Pine Forest, Woodland and Savanna","SAF 247: Jeffrey Pine","Tree-dominated","Open tree canopy","Evergreen open tree canopy",0,173,0,0,0.678431,0,23875,0.5
"11",7032,923086,"Mediterranean California Red Fir Forest",7032,2032,"Tr Mediterranean California Red Fir Forest","Tree","Conifer",633,"Red Fir Forest and Woodland","SAF 207: Red Fir","Tree-dominated","Open tree canopy","Evergreen open tree canopy",0,158,0,0,0.619608,0,205289,4.7
"12",7033,2729,"Mediterranean California Subalpine Woodland",7033,2033,"Tr Mediterranean California Subalpine Woodland","Tree","Conifer",640,"Subalpine Woodland and Parkland","SAF 256: California Mixed Subalpine","Tree-dominated","Open tree canopy","Evergreen open tree canopy",0,145,0,0,0.568627,0,607,0
"13",7035,51666,"North Pacific Dry Douglas-fir-(Madrone) Forest and Woodland",7035,2035,"Tr North Pacific Dry Douglas-fir(-Madrone) Forest and Woodland","Tree","Conifer",614,"Douglas-fir Forest and Woodland","SAF 229: Pacific Douglas-Fir","Tree-dominated","Closed tree canopy","Evergreen closed tree canopy",0,130,0,0,0.509804,0,11490,0.3
"14",7036,38669,"North Pacific Seasonal Sitka Spruce Forest",7036,2036,"Tr North Pacific Hypermaritime Seasonal Sitka Spruce Forest","Tree","Conifer",638,"Sitka Spruce Forest","SAF 223: Sitka Spruce","Tree-dominated","Closed tree canopy","Evergreen closed tree canopy",0,117,0,0,0.458824,0,8600,0.2
"15",7037,1149746,"North Pacific Maritime Dry-Mesic Douglas-fir-Western Hemlock Forest",7037,2037,"Tr North Pacific Maritime Dry-Mesic Douglas-fir-Western Hemlock Forest","Tree","Conifer",615,"Douglas-fir-Western Hemlock Forest and Woodland","SAF 230: Douglas-Fir-Western Hemlock","Tree-dominated","Closed tree canopy","Evergreen closed tree canopy",0,105,0,0,0.411765,0,255697,5.9
"16",7039,408037,"North Pacific Maritime Mesic-Wet Douglas-fir-Western Hemlock Forest",7039,2039,"Tr North Pacific Maritime Mesic-Wet Douglas-fir-Western Hemlock Forest","Tree","Conifer",615,"Douglas-fir-Western Hemlock Forest and Woodland","SAF 230: Douglas-Fir-Western Hemlock","Tree-dominated","Closed tree canopy","Evergreen closed tree canopy",0,105,0,0,0.411765,0,90745,2.1
"17",7041,164041,"North Pacific Mountain Hemlock Forest",7041,2041,"Tr North Pacific Mountain Hemlock Forest","Tree","Conifer",627,"Mountain Hemlock Forest and Woodland","SAF 205: Mountain Hemlock","Tree-dominated","Closed tree canopy","Evergreen closed tree canopy",0,92,0,0,0.360784,0,36482,0.8
"18",7042,9060,"North Pacific Mesic Western Hemlock-Silver Fir Forest",7042,2042,"Tr North Pacific Mesic Western Hemlock-Silver Fir Forest","Tree","Conifer",642,"Western Hemlock-Silver Fir Forest","SAF 226: Coastal True Fir-Hemlock","Tree-dominated","Closed tree canopy","Evergreen closed tree canopy",0,71,0,0,0.278431,0,2015,0
"19",7043,6680235,"Mediterranean California Mixed Evergreen Forest",7043,2043,"Tr Mediterranean California Mixed Evergreen Forest","Tree","Conifer",626,"California Mixed Evergreen Forest and Woodland","SAF 234: Douglas-Fir-Tanoak-Pacific Madrone","Tree-dominated","Closed tree canopy","Evergreen closed tree canopy",0,61,0,0,0.239216,0,1485649,34
"20",7044,18494,"Northern California Mesic Subalpine Woodland",7044,2044,"Tr Northern California Mesic Subalpine Woodland","Tree","Conifer",627,"Mountain Hemlock Forest and Woodland","SAF 205: Mountain Hemlock","Tree-dominated","Open tree canopy","Evergreen open tree canopy",0,92,0,0,0.360784,0,4113,0.1
"21",7053,105,"Northern Rocky Mountain Ponderosa Pine Woodland and Savanna",7053,2053,"Tr Northern Rocky Mountain Ponderosa Pine Woodland and Savanna","Tree","Conifer",631,"Ponderosa Pine Forest, Woodland and Savanna","SAF 237: Interior Ponderosa Pine","Tree-dominated","Open tree canopy","Evergreen open tree canopy",214,255,181,0.839216,1,0.709804,23,0
"22",7056,429,"Rocky Mountain Subalpine Mesic-Wet Spruce-Fir Forest and Woodland",7056,2056,"Tr Rocky Mountain Subalpine Mesic-Wet Spruce-Fir Forest and Woodland","Tree","Conifer",639,"Spruce-Fir Forest and Woodland","SAF 206: Engelmann Spruce-Subalpine Fir","Tree-dominated","Closed tree canopy","Evergreen closed tree canopy",236,252,204,0.92549,0.988235,0.8,95,0
"23",7058,8129,"Sierra Nevada Subalpine Lodgepole Pine Forest and Woodland",7058,2058,"Tr Sierra Nevada Subalpine Lodgepole Pine Forest and Woodland","Tree","Conifer",622,"Lodgepole Pine Forest and Woodland","SAF 218: Lodgepole Pine","Tree-dominated","Closed tree canopy","Evergreen closed tree canopy",163,240,219,0.639216,0.941176,0.858824,1808,0
"24",7062,7,"Inter-Mountain Basins Curl-leaf Mountain Mahogany Woodland",7062,2062,"Tr Inter-Mountain Basins Curl-leaf Mountain Mahogany Woodland and Shrubland","Tree","Conifer",628,"Mountain Mahogany Woodland and Shrubland","SRM 415: Curlleaf Mountain-Mahogany","Tree-dominated","Open tree canopy","Evergreen open tree canopy",155,235,216,0.607843,0.921569,0.847059,2,0
"25",7063,8805,"North Pacific Broadleaf Landslide Forest",7063,2063,"Tr North Pacific Broadleaf Landslide Forest and Shrubland","Tree","Hardwood",632,"Red Alder Forest and Woodland","SAF 221: Red Alder","Tree-dominated","Closed tree canopy","Deciduous closed tree canopy",146,232,215,0.572549,0.909804,0.843137,1958,0
"26",7068,104,"North Pacific Dry and Mesic Alpine Dwarf-Shrubland",7068,2068,"Sh North Pacific Dry and Mesic Alpine Dwarf-Shrubland or Fell-field or Meadow","Shrub","Shrubland",601,"Alpine Dwarf-Shrubland, Fell-field and Meadow","SRM 108: Alpine Idaho Fescue","Shrub-dominated","Dwarf-shrubland","Mixed evergreen-deciduous dwarf-shrubland",181,156,114,0.709804,0.611765,0.447059,23,0
"27",7069,2,"North Pacific Dry and Mesic Alpine Fell-field or Meadow",7068,2068,"Sh North Pacific Dry and Mesic Alpine Dwarf-Shrubland or Fell-field or Meadow","Herb","Grassland",601,"Alpine Dwarf-Shrubland, Fell-field and Meadow","SRM 108: Alpine Idaho Fescue","Herbaceous / Nonvascular-dominated","Herbaceous - grassland","Perennial graminoid",181,156,114,0.709804,0.611765,0.447059,0,0
"28",7080,153,"Inter-Mountain Basins Big Sagebrush Shrubland",7080,2080,"Sh Inter-Mountain Basins Big Sagebrush Shrubland","Shrub","Shrubland",604,"Big Sagebrush Shrubland and Steppe","SRM 403: Wyoming Big Sagebrush","Shrub-dominated","Shrubland","Evergreen shrubland",130,101,72,0.509804,0.396078,0.282353,34,0
"29",7083,1038,"North Pacific Avalanche Chute Shrubland",7083,2083,"Sh North Pacific Avalanche Chute Shrubland","Shrub","Shrubland",612,"Deciduous Shrubland","LF 41: Deciduous Shrubland","Shrub-dominated","Shrubland","Mixed evergreen-deciduous shrubland",128,97,69,0.501961,0.380392,0.270588,231,0
"30",7084,142414,"North Pacific Montane Shrubland",7084,2084,"Sh North Pacific Montane Shrubland","Shrub","Shrubland",612,"Deciduous Shrubland","LF 41: Deciduous Shrubland","Shrub-dominated","Shrubland","Mixed evergreen-deciduous shrubland",128,97,69,0.501961,0.380392,0.270588,31672,0.7
"31",7096,96,"California Maritime Chaparral",7096,2096,"Sh California Maritime Chaparral","Shrub","Shrubland",607,"Chaparral","SRM 208: Ceanothus Mixed Chaparral","Shrub-dominated","Shrubland","Evergreen shrubland",107,77,54,0.419608,0.301961,0.211765,21,0
"32",7098,119908,"California Montane Woodland and Chaparral",7098,2098,"Sh California Montane Woodland and Chaparral","Shrub","Shrubland",607,"Chaparral","SRM 209: Montane Shrubland","Shrub-dominated","Shrubland","Evergreen shrubland",66,37,24,0.258824,0.145098,0.094118,26667,0.6
"33",7105,612767,"Northern and Central California Dry-Mesic Chaparral",7105,2105,"Sh Northern and Central California Dry-Mesic Chaparral","Shrub","Shrubland",607,"Chaparral","SRM 206: Chamise Chaparral","Shrub-dominated","Shrubland","Evergreen shrubland",99,69,47,0.388235,0.270588,0.184314,136276,3.1
"34",7123,4611,"Columbia Plateau Steppe and Grassland",7123,2123,"He Columbia Plateau Steppe and Grassland","Herb","Grassland",618,"Grassland and Steppe","SRM 106: Bluegrass Scabland","Herbaceous / Nonvascular-dominated","Herbaceous - shrub-steppe","Perennial graminoid steppe",199,176,129,0.780392,0.690196,0.505882,1025,0
