"","BpS_Name","refLabel","refCur","Percent"
"1","Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland","A","refPercent",11
"2","Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland","A","currentPercent",6
"3","Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland","A","refPercent",11
"4","Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland","A","currentPercent",6
"5","Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland","A","refPercent",11
"6","Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland","A","currentPercent",10
"7","Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland","B","refPercent",4
"8","Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland","B","currentPercent",28
"9","Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland","B","refPercent",4
"10","Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland","B","currentPercent",38
"11","Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland","B","refPercent",4
"12","Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland","B","currentPercent",43
"13","Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland","C","refPercent",8
"14","Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland","C","currentPercent",1
"15","Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland","C","refPercent",8
"16","Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland","C","currentPercent",3
"17","Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland","C","refPercent",8
"18","Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland","C","currentPercent",10
"19","Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland","D","refPercent",63
"20","Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland","D","currentPercent",0
"21","Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland","D","refPercent",63
"22","Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland","D","currentPercent",0
"23","Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland","D","refPercent",63
"24","Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland","D","currentPercent",0
"25","Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland","E","refPercent",14
"26","Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland","E","currentPercent",58
"27","Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland","E","refPercent",14
"28","Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland","E","currentPercent",34
"29","Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland","E","refPercent",14
"30","Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland","E","currentPercent",27
"31","Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland","Agriculture","refPercent",0
"32","Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland","Agriculture","currentPercent",0
"33","Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland","Agriculture","refPercent",0
"34","Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland","Agriculture","currentPercent",3
"35","Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland","Agriculture","refPercent",0
"36","Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland","Agriculture","currentPercent",0
"37","Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland","Developed","refPercent",0
"38","Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland","Developed","currentPercent",5
"39","Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland","Developed","refPercent",0
"40","Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland","Developed","currentPercent",11
"41","Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland","Developed","refPercent",0
"42","Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland","Developed","currentPercent",1
"43","Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland","Water","refPercent",0
"44","Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland","Water","currentPercent",NA
"45","Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland","UN","refPercent",0
"46","Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland","UN","currentPercent",NA
"47","Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland","UE","refPercent",0
"48","Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland","UE","currentPercent",0
"49","Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland","UE","refPercent",0
"50","Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland","UE","currentPercent",3
"51","Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland","UE","refPercent",0
"52","Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland","UE","currentPercent",5
"53","Mediterranean California Mesic Mixed Conifer Forest and Woodland","A","refPercent",16
"54","Mediterranean California Mesic Mixed Conifer Forest and Woodland","A","currentPercent",11
"55","Mediterranean California Mesic Mixed Conifer Forest and Woodland","A","refPercent",16
"56","Mediterranean California Mesic Mixed Conifer Forest and Woodland","A","currentPercent",12
"57","Mediterranean California Mesic Mixed Conifer Forest and Woodland","B","refPercent",14
"58","Mediterranean California Mesic Mixed Conifer Forest and Woodland","B","currentPercent",26
"59","Mediterranean California Mesic Mixed Conifer Forest and Woodland","B","refPercent",14
"60","Mediterranean California Mesic Mixed Conifer Forest and Woodland","B","currentPercent",32
"61","Mediterranean California Mesic Mixed Conifer Forest and Woodland","C","refPercent",18
"62","Mediterranean California Mesic Mixed Conifer Forest and Woodland","C","currentPercent",5
"63","Mediterranean California Mesic Mixed Conifer Forest and Woodland","C","refPercent",18
"64","Mediterranean California Mesic Mixed Conifer Forest and Woodland","C","currentPercent",5
"65","Mediterranean California Mesic Mixed Conifer Forest and Woodland","D","refPercent",35
"66","Mediterranean California Mesic Mixed Conifer Forest and Woodland","D","currentPercent",0
"67","Mediterranean California Mesic Mixed Conifer Forest and Woodland","D","refPercent",35
"68","Mediterranean California Mesic Mixed Conifer Forest and Woodland","D","currentPercent",0
"69","Mediterranean California Mesic Mixed Conifer Forest and Woodland","E","refPercent",17
"70","Mediterranean California Mesic Mixed Conifer Forest and Woodland","E","currentPercent",51
"71","Mediterranean California Mesic Mixed Conifer Forest and Woodland","E","refPercent",17
"72","Mediterranean California Mesic Mixed Conifer Forest and Woodland","E","currentPercent",41
"73","Mediterranean California Mesic Mixed Conifer Forest and Woodland","Agriculture","refPercent",0
"74","Mediterranean California Mesic Mixed Conifer Forest and Woodland","Agriculture","currentPercent",0
